Freq.	V(filtroout)
7.24435960074988e+01	9.99614258513766e-01,-2.78169739800509e-02
7.41310241300916e+01	9.99596080281328e-01,-2.84647498057049e-02
7.58577575029182e+01	9.99577045437677e-01,-2.91276024875518e-02
7.76247116628690e+01	9.99557113621859e-01,-2.98058823681808e-02
7.94328234724279e+01	9.99536242571719e-01,-3.04999478904617e-02
8.12830516164097e+01	9.99514388034393e-01,-3.12101657819172e-02
8.31763771102669e+01	9.99491503672593e-01,-3.19369112430807e-02
8.51138038202374e+01	9.99467540966476e-01,-3.26805681399132e-02
8.70963589956078e+01	9.99442449110912e-01,-3.34415292003477e-02
8.91250938133743e+01	9.99416174907906e-01,-3.42201962150327e-02
9.12010839355907e+01	9.99388662653979e-01,-3.50169802423463e-02
9.33254300796988e+01	9.99359854022245e-01,-3.58323018177506e-02
9.54992586021433e+01	9.99329687938947e-01,-3.66665911675564e-02
9.77237220955808e+01	9.99298100454200e-01,-3.75202884271685e-02
9.99999999999997e+01	9.99265024606643e-01,-3.83938438638783e-02
1.02329299228075e+02	9.99230390281754e-01,-3.92877181042749e-02
1.04712854805090e+02	9.99194124063494e-01,-4.02023823663372e-02
1.07151930523760e+02	9.99156149078991e-01,-4.11383186962750e-02
1.09647819614318e+02	9.99116384835928e-01,-4.20960202101820e-02
1.12201845430196e+02	9.99074747052296e-01,-4.30759913405621e-02
1.14815362149688e+02	9.99031147478164e-01,-4.40787480877890e-02
1.17489755493953e+02	9.98985493709068e-01,-4.51048182765553e-02
1.20226443461741e+02	9.98937688990667e-01,-4.61547418173670e-02
1.23026877081238e+02	9.98887632014207e-01,-4.72290709731331e-02
1.25892541179416e+02	9.98835216702421e-01,-4.83283706308985e-02
1.28824955169313e+02	9.98780331985366e-01,-4.94532185787643e-02
1.31825673855640e+02	9.98722861565768e-01,-5.06042057880335e-02
1.34896288259165e+02	9.98662683673361e-01,-5.17819367006180e-02
1.38038426460288e+02	9.98599670807717e-01,-5.29870295217344e-02
1.41253754462275e+02	9.98533689469027e-01,-5.42201165179127e-02
1.44543977074592e+02	9.98464599876286e-01,-5.54818443203333e-02
1.47910838816820e+02	9.98392255672269e-01,-5.67728742335018e-02
1.51356124843620e+02	9.98316503614714e-01,-5.80938825492622e-02
1.54881661891248e+02	9.98237183253049e-01,-5.94455608661418e-02
1.58489319246111e+02	9.98154126590002e-01,-6.08286164140088e-02
1.62181009735892e+02	9.98067157727398e-01,-6.22437723840167e-02
1.65958690743755e+02	9.97976092495392e-01,-6.36917682637944e-02
1.69824365246174e+02	9.97880738064386e-01,-6.51733601778316e-02
1.73780082874937e+02	9.97780892538835e-01,-6.66893212329943e-02
1.77827941003892e+02	9.97676344532079e-01,-6.82404418690887e-02
1.81970085860998e+02	9.97566872721350e-01,-6.98275302143796e-02
1.86208713666286e+02	9.97452245382031e-01,-7.14514124459482e-02
1.90546071796324e+02	9.97332219900200e-01,-7.31129331547567e-02
1.94984459975804e+02	9.97206542262470e-01,-7.48129557152682e-02
1.99526231496887e+02	9.97074946522095e-01,-7.65523626594449e-02
2.04173794466952e+02	9.96937154240208e-01,-7.83320560549266e-02
2.08929613085403e+02	9.96792873901103e-01,-8.01529578871631e-02
2.13796208950222e+02	9.96641800300328e-01,-8.20160104452480e-02
2.18776162394954e+02	9.96483613904375e-01,-8.39221767111691e-02
2.23872113856833e+02	9.96317980180645e-01,-8.58724407521592e-02
2.29086765276776e+02	9.96144548896361e-01,-8.78678081157946e-02
