Freq.	V(ampout)
8.91250938133742e-03	1.00003266334534e+00,2.63194651813357e-02
9.12010839355906e-03	1.00003409385681e+00,2.69325223361957e-02
9.33254300796988e-03	1.00003552436829e+00,2.75598592874036e-02
9.54992586021432e-03	1.00003743171692e+00,2.82018086441075e-02
9.77237220955807e-03	1.00003921985626e+00,2.88587107627650e-02
9.99999999999996e-03	1.00004100799561e+00,2.95309139260769e-02
1.02329299228075e-02	1.00004303455353e+00,3.02187745293326e-02
1.04712854805090e-02	1.00004494190216e+00,3.09226572676027e-02
1.07151930523760e-02	1.00004720687866e+00,3.16429353309780e-02
1.09647819614318e-02	1.00004923343658e+00,3.23799905998087e-02
1.12201845430196e-02	1.00005185604095e+00,3.31342138496844e-02
1.14815362149688e-02	1.00005412101746e+00,3.39060049576841e-02
1.17489755493952e-02	1.00005662441254e+00,3.46957731109569e-02
1.20226443461741e-02	1.00005936622620e+00,3.55039370320294e-02
1.23026877081238e-02	1.00006198883057e+00,3.63309251895040e-02
1.25892541179416e-02	1.00006508827209e+00,3.71771760345898e-02
1.28824955169313e-02	1.00006806850433e+00,3.80431382281055e-02
1.31825673855640e-02	1.00007116794586e+00,3.89292708806110e-02
1.34896288259165e-02	1.00007462501526e+00,3.98360437938088e-02
1.38038426460288e-02	1.00007820129395e+00,4.07639377116873e-02
1.41253754462275e-02	1.00008165836334e+00,4.17134445737809e-02
1.44543977074592e-02	1.00008583068848e+00,4.26850677735124e-02
1.47910838816820e-02	1.00008988380432e+00,4.36793224326293e-02
1.51356124843620e-02	1.00009405612946e+00,4.46967356642043e-02
1.54881661891247e-02	1.00009822845459e+00,4.57378468585065e-02
1.58489319246111e-02	1.00010299682617e+00,4.68032079659074e-02
1.62181009735892e-02	1.00010800361633e+00,4.78933837929162e-02
1.65958690743755e-02	1.00011301040649e+00,4.90089522948264e-02
1.69824365246174e-02	1.00011837482452e+00,5.01505048861506e-02
1.73780082874937e-02	1.00012362003326e+00,5.13186467561366e-02
1.77827941003891e-02	1.00012958049774e+00,5.25139971825907e-02
1.81970085860997e-02	1.00013589859009e+00,5.37371898668754e-02
1.86208713666286e-02	1.00014209747314e+00,5.49888732634019e-02
1.90546071796324e-02	1.00014901161194e+00,5.62697109281810e-02
1.94984459975804e-02	1.00015604496002e+00,5.75803818669498e-02
1.99526231496887e-02	1.00016343593597e+00,5.89215808951574e-02
2.04173794466952e-02	1.00017094612122e+00,6.02940190055733e-02
2.08929613085403e-02	1.00017893314362e+00,6.16984237456368e-02
2.13796208950222e-02	1.00018763542175e+00,6.31355396011593e-02
2.18776162394954e-02	1.00019621849060e+00,6.46061283940023e-02
2.23872113856833e-02	1.00020551681519e+00,6.61109696810255e-02
2.29086765276776e-02	1.00021529197693e+00,6.76508611674353e-02
2.34422881531991e-02	1.00022554397583e+00,6.92266191315671e-02
2.39883291901948e-02	1.00023627281189e+00,7.08390788492451e-02
2.45470891568502e-02	1.00024724006653e+00,7.24890950486337e-02
2.51188643150957e-02	1.00025904178619e+00,7.41775423502674e-02
2.57039578276885e-02	1.00027096271515e+00,7.59053157379963e-02
2.63026799189537e-02	1.00028383731842e+00,7.76733310240020e-02
2.69153480392690e-02	1.00029730796814e+00,7.94825253400725e-02
2.75422870333815e-02	1.00031125545502e+00,8.13338576297230e-02
2.81838293126444e-02	1.00032603740692e+00,8.32283091581047e-02
2.88403150312659e-02	1.00034141540527e+00,8.51668840278429e-02
2.95120922666637e-02	1.00035727024078e+00,8.71506097075798e-02
3.01995172040200e-02	1.00037443637848e+00,8.91805375825412e-02
3.09029543251357e-02	1.00039184093475e+00,9.12577435034075e-02
3.16227766016836e-02	1.00041019916534e+00,9.33833283538206e-02
3.23593656929626e-02	1.00042974948883e+00,9.55584186390659e-02
3.31131121482589e-02	1.00045001506805e+00,9.77841670730601e-02
3.38844156139201e-02	1.00047111511230e+00,1.00061753192444e-01
3.46736850452530e-02	1.00049340724945e+00,1.02392383974063e-01
3.54813389233573e-02	1.00051653385162e+00,1.04777294480402e-01
3.63078054770099e-02	1.00054097175598e+00,1.07217748498236e-01
3.71535229097170e-02	1.00056636333466e+00,1.09715039216258e-01
3.80189396320559e-02	1.00059318542480e+00,1.12270489906927e-01
3.89045144994278e-02	1.00062096118927e+00,1.14885454618490e-01
3.98107170553495e-02	1.00065040588379e+00,1.17561318885634e-01
4.07380277804110e-02	1.00068104267120e+00,1.20299500471481e-01
4.16869383470333e-02	1.00071322917938e+00,1.23101450104499e-01
4.26579518801590e-02	1.00074672698975e+00,1.25968652249294e-01
4.36515832240163e-02	1.00078165531158e+00,1.28902625881635e-01
4.46683592150960e-02	1.00081872940063e+00,1.31904925290593e-01
4.57088189614872e-02	1.00085735321045e+00,1.34977140896757e-01
4.67735141287195e-02	1.00089764595032e+00,1.38120900096726e-01
4.78630092322635e-02	1.00093996524811e+00,1.41337868086412e-01
4.89778819368443e-02	1.00098431110382e+00,1.44629748791074e-01
5.01187233627269e-02	1.00103092193604e+00,1.47998285712344e-01
5.12861383991362e-02	1.00107920169830e+00,1.51445262856563e-01
5.24807460249769e-02	1.00113034248352e+00,1.54972505685144e-01
5.37031796370249e-02	1.00118350982666e+00,1.58581882059853e-01
